Evaluation,Peak_Force_N
1,2911.485476230965
2,2778.223780668526
3,4196.585432560923
4,1686.1568242373894
5,3349.3690400260616
6,3543.662282553605
7,3150.8981669801938
8,1829.7601521585923
9,3081.5245683588287
10,3024.396813357296
11,2228.631485517659
12,3398.0909446497817
13,4305.114791968292
14,2432.5074707100753
15,3746.606278603976
16,2797.144303933015
17,2655.9056733856837
18,2955.01177223429
19,2600.8442661231234
20,3767.4761348370953
21,2471.813618471653
22,3943.9663609039026
23,2433.934398498273
24,4081.1712100507534
25,3738.3846013115526
26,5503.365201985145
27,4056.5580169790624
28,5011.672157060232
29,3395.605264438935
30,3733.1325086183124
31,3367.260524460573
32,3430.75769730779
33,5870.07289055714
34,3682.188950644897
35,3058.799330508908
36,5746.990100840492
37,3460.205120632829
38,2298.6546554073375
39,3005.4016304388365
40,3345.337280065175
41,3806.264954997355
42,4675.874442023119
43,2851.0203436013285
44,4904.01794822101
45,3376.2608119504816
46,2329.40493766011
47,1615.2056062032482
48,2075.7530879232118
49,3139.011269820299
50,3678.1048567475027
51,3292.5294014000206
52,2824.7213337375924
53,3061.869638545798
54,2543.876496024344
55,3385.036765158815
56,2832.74683452053
57,3253.4960477518403
58,3470.9585097465692
59,3765.8396846508426
60,4573.757853439854
61,2440.653489005842
62,2325.3831326985305
63,4780.354484017263
64,4232.537888097943
65,3481.2378644222545
66,2640.6622774305565
67,2353.77216635071
68,2027.4720990340932
69,2769.047798602453
70,3540.7553068722345
71,1841.4419126597197
72,3005.6195853441577
73,3549.3897532477777
74,3847.6719988314726
75,2618.5334082672994
76,3915.3360676110633
77,2658.7519968583797
78,3682.4181613497535
79,3852.798492310046
80,3053.112738602744
81,3460.04377307245
82,4498.214180979791
83,2521.4739027103947
84,2598.7519772797245
85,3250.483507122024
86,2725.1227875517357
87,3732.235732151472
88,3498.8802005771595
89,2994.2509982387364
90,3080.1046141807756
91,2547.7189263060104
92,3208.082265865436
93,3079.076300713463
94,2231.141918880973
95,5392.235120656739
96,2278.1123689220617
97,2340.4938229348177
98,2041.8460159498154
99,4239.783231131582
100,4821.440310455634
