Optimizer,Peak_Force_N,Evaluations,Time_s,Success
Metaheuristics_DE,1686.1568242373894,5,593.7068078517914,true
BlackBoxOptim,2155.218497412325,7,1381.9235742092133,true
Metaheuristics_ECA,1686.1568242373894,5,401.35451006889343,true
Metaheuristics_GA,1686.1568242373894,5,202.73368501663208,true
Metaheuristics_PSO,1686.1568242373894,5,790.1831300258636,true
Optim,2911.8084268903226,6,1058.4713151454926,true
