Optimizer,Peak_Force_N,Evaluations,Time_s,Success
Metaheuristics_DE,1014.6126055706509,100,4055.6057789325714,true
BlackBoxOptim,1017.1580129658863,103,9051.147431850433,true
Metaheuristics_ECA,1014.6126055706509,100,2736.120131969452,true
Metaheuristics_GA,1014.6126055706509,100,1379.583771944046,true
Metaheuristics_PSO,1014.4118366372749,100,5319.541881084442,true
Optim,1012.985682447747,101,6601.06090593338,true
